Source,Tweet Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,"🍍 A squeeze of pineapple juice works wonders for dough...

🍞 Here are 10 things you knead to know about bread! 

👉… https://t.co/ajVBvN31mi",Fri Mar 30 08:27:05 +0000 2018,0.0,0.0,0.0,1.0,78
@BBC,"😢🐘 This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW",Fri Mar 30 07:30:02 +0000 2018,0.0258,0.126,0.123,0.751,79
@BBC,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj",Thu Mar 29 20:41:00 +0000 2018,-0.296,0.0,0.099,0.901,80
@BBC,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
🌧🌤🌨 Here's your Easter weekend forecast: https://t.co/EXeBCHutS4",Thu Mar 29 18:45:08 +0000 2018,0.0,0.0,0.0,1.0,81
@BBC,RT @bbcrb: Retirement's looking rosy for Hank the police horse! 🐎😆 https://t.co/xB9kXZeWNE,Thu Mar 29 18:44:20 +0000 2018,0.0,0.0,0.0,1.0,82
@BBC,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... 😋 💪 https://t.co/qp6xw04IiC",Thu Mar 29 18:44:11 +0000 2018,0.0,0.0,0.0,1.0,83
@BBC,RT @BBCOne: Anyone else having a 'chilled one'? 🐼 https://t.co/WRBeDdaK18,Thu Mar 29 18:43:51 +0000 2018,0.0,0.0,0.0,1.0,84
@BBC,"❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",Thu Mar 29 18:05:02 +0000 2018,0.4522,0.194,0.109,0.697,85
@BBC,"🍳 Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
👉… https://t.co/5xxQNyyRMg",Thu Mar 29 17:04:05 +0000 2018,0.0,0.0,0.0,1.0,86
@BBC,RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…,Thu Mar 29 16:12:19 +0000 2018,0.784,0.288,0.0,0.712,87
@BBC,✊ Plastic protest! https://t.co/9m59wayYH8,Thu Mar 29 16:03:03 +0000 2018,-0.3164,0.0,0.534,0.466,88
@BBC,"RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP",Thu Mar 29 15:41:25 +0000 2018,0.0,0.0,0.0,1.0,89
@BBC,RT @bbcwritersroom: #OrdealByInnocence begins on @BBCOne on Easter Sunday 1st April at 9pm and @BBCiPlayer. #Screenwriter @PhelpsieSarah ex…,Thu Mar 29 15:31:22 +0000 2018,0.0,0.0,0.0,1.0,90
@BBC,"RT @bbcideas: Author Lionel Shriver says we project ourselves on to our possessions – and that she is her toy donkey, Clippety 😊.

We'd lik…",Thu Mar 29 15:26:27 +0000 2018,0.0,0.0,0.0,1.0,91
@BBC,RT @BBCTwo: Imagine living in this incredible Swiss chalet! 😍🇨🇭 #TheWorldsMostExtraordinaryHomes https://t.co/NofijuERJg,Thu Mar 29 15:24:08 +0000 2018,0.0,0.0,0.0,1.0,92
@BBC,"😂 So, who's going out tonight? https://t.co/u2L4sEKjE2",Thu Mar 29 15:04:02 +0000 2018,0.0,0.0,0.0,1.0,93
@BBC,"🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho",Thu Mar 29 14:21:11 +0000 2018,0.0,0.0,0.0,1.0,94
@BBC,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…,Thu Mar 29 14:07:48 +0000 2018,0.0,0.0,0.0,1.0,95
@BBC,"Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v",Thu Mar 29 12:31:03 +0000 2018,0.8268,0.299,0.0,0.701,96
@BBC,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW",Thu Mar 29 11:00:21 +0000 2018,-0.6249,0.124,0.295,0.581,97
@BBC,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…",Thu Mar 29 10:18:02 +0000 2018,0.6908,0.231,0.0,0.769,98
@BBC,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,Thu Mar 29 08:00:12 +0000 2018,0.784,0.345,0.0,0.655,99
@BBC,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,Thu Mar 29 07:27:07 +0000 2018,0.0,0.0,0.0,1.0,100
@CBS,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI,Mon Apr 02 17:30:00 +0000 2018,0.1513,0.116,0.092,0.792,1
@CBS,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO,Sun Apr 01 17:00:03 +0000 2018,0.6486,0.202,0.0,0.798,2
@CBS,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI",Sat Mar 31 18:00:00 +0000 2018,0.0,0.0,0.0,1.0,3
@CBS,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2,Sat Mar 31 15:30:00 +0000 2018,0.4199,0.113,0.0,0.887,4
@CBS,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,Fri Mar 30 16:50:00 +0000 2018,0.4926,0.127,0.0,0.873,5
@CBS,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",Thu Mar 29 17:32:40 +0000 2018,0.0,0.0,0.0,1.0,6
@CBS,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",Thu Mar 29 17:30:02 +0000 2018,0.0,0.0,0.0,1.0,7
@CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,Tue Mar 27 21:00:01 +0000 2018,0.3818,0.212,0.108,0.68,8
